error_pair,regime,n_pairs,design_rank,effective_rank,seed
compute_dependency,confounded,382,1,1.0,414
compute_dependency,factorial,382,2,1.970193267287578,414
compute_dependency,orthogonal_exposure,764,2,2.0,414
compute_dependency,orthogonal_size,382,2,1.999828621661781,414
missing_disorder,confounded,414,1,1.0,414
missing_disorder,factorial,414,2,1.9711329793931847,414
missing_disorder,orthogonal_exposure,828,2,1.9999999999999998,414
missing_disorder,orthogonal_size,414,2,1.9999999999999998,414
