error_type,metric,n,mean,std,q25,median,q75,standardized_mean
computation,prompt_tokens,673,146.3105497771174,62.83999463597451,114.0,126.0,141.0,2.3283030277879404
computation,chosen_tokens,673,168.85735512630015,51.242602569698626,133.0,143.0,233.0,3.295253298202907
computation,rejected_tokens,673,169.44576523031205,52.29772851446342,133.0,143.0,233.0,3.240021508457107
computation,length_delta,673,0.5884101040118871,1.823158599537027,0.0,0.0,0.0,0.3227421378267958
computation,normalized_length_delta,673,0.0022696665892060334,0.00711849375807254,0.0,0.0,0.0,0.31884084840731625
computation,token_edit_distance,673,8.417533432392274,3.1921321146828423,6.0,8.0,10.0,2.636962735243371
computation,step_count_delta,673,-0.008915304606240713,0.0939990529208601,0.0,0.0,0.0,-0.09484462161280185
computation,numeric_delta,673,0.7368885894387867,1.702680368058179,-0.5714290000000002,1.0,2.0,0.4327815151114774
dependency_redirect,prompt_tokens,461,150.353579175705,70.73836438960863,114.0,127.0,144.0,2.1254884880797684
dependency_redirect,chosen_tokens,461,186.62039045553146,59.46340985298683,134.0,147.0,254.0,3.138407146796974
dependency_redirect,rejected_tokens,461,229.71583514099783,146.14831985978603,136.0,148.0,281.0,1.5717993567177924
dependency_redirect,length_delta,461,43.095444685466376,108.7031001961963,0.0,0.0,20.0,0.3964509255732741
dependency_redirect,normalized_length_delta,461,0.16977818161692765,0.4221437546859079,0.0,0.0,0.0784313725490196,0.4021809626041951
dependency_redirect,token_edit_distance,461,47.27982646420824,107.29215797777286,5.0,8.0,21.0,0.4406643258494526
dependency_redirect,step_count_delta,461,1.3557483731019522,3.758910532039432,0.0,0.0,1.0,0.3606758824255331
dependency_redirect,numeric_delta,461,-1.247648590021692,6.062182796866832,-3.0,0.0,1.0,-0.20580847391578566
missing_node,prompt_tokens,946,152.04228329809726,68.44548693279427,115.0,128.0,146.75,2.221363162298569
missing_node,chosen_tokens,946,196.41437632135307,61.03952870013408,136.0,155.0,257.0,3.21782262255445
missing_node,rejected_tokens,946,150.78858350951373,41.32856688161676,117.0,134.0,194.0,3.6485316304685504
missing_node,length_delta,946,-45.625792811839325,32.65375939776257,-57.0,-40.0,-17.0,-1.3972600292683481
missing_node,normalized_length_delta,946,-0.21340809340010927,0.11020693245194473,-0.26749811848188365,-0.19776119402985073,-0.12620460688682572,-1.9364307548725666
missing_node,token_edit_distance,946,53.62473572938689,34.588578281735224,26.0,45.0,60.0,1.5503596387395855
missing_node,step_count_delta,946,-1.56553911205074,1.6244812393795258,-3.0,-1.0,0.0,-0.9637163385455293
missing_node,numeric_delta,946,-0.06797040169133192,1.1598823950605068,0.0,0.0,0.0,-0.05860111506200261
